UUID,Distance (ly),Distance (ly) adj,Constellation,RA,Dec,Stellarclass,Mass,Apparent magnitude (v),Visible to the unaided eye,Apparent magnitude (j),Parallax(mas),Parallax(mas) adj,System,StarName,Sub-brown dwarf or rogue planet,Brown dwarf,White dwarf,Luminous star,Notes and additional references,Planets
0d737d48-f2d8-4bb2-a4ed-014ef63aec18,1.58e-05,0.0000158,,,,G2V,1,−26.74,#,4.85,,,Solar System,Sun (Sol),,,,$,,eight recognized planets and more dwarf planets
4011dfae-aad7-45ab-8b4c-5a20d27a0611,4.2465,±0.0003,Cen*,14h 29m 43.0s,−62° 40′ 46″,M5.5Ve,0.122,11.09,,15.53,768.0665,±0.0499,Proxima Centauri,"Proxima Centauri (C, V645 Centauri)",,,,,flare star," two confirmed planets (b, 2016, and d, 2022) and a third disputed planet (c, 2019)"
307bcad4-646f-4818-ac6a-1ab23dee162e,4.3441,±0.0022,,14h 39m 36.5s,−60° 50′ 02″,G2V,1.079,0.01,#,4.38,750.81,±0.38,Alpha Centauri,Rigil Kentaurus (A),,,,$,,one directly imaged habitable-zone planet candidate (Candidate 1) (2021)
ff59fd8c-d30e-4a9f-8585-367dea407307,4.37,,,14h 39m 35.1s,−60° 50′ 14″,K1V,0.909,1.34,#,5.71,,,Alpha Centauri,Toliman (B),,,,$,,planet b refuted in 2015
1cba6136-bbe1-4ecc-95eb-f5baf03ef45d,5.9629,±0.0004,Oph*,17h 57m 48.5s,+04° 41′ 36″,M4.0Ve,0.144,9.53,,13.22,546.9759,±0.0401,Barnard's Star (BD+04°3561a),,,,,,"flare star, largest-known proper motion", one refuted planet (b)
596f1626-89a6-4548-80e5-c0f97365f569,6.5029,±0.0011,Vel*,10h 49m 18.9s,−53° 19′ 10″,L8±1,0.032,10.7 J,,14.2 J,501.557.0,±0.082,Luhman 16 (WISE 1049−5319),A,,§,,,nearest brown dwarfs,
158e454e-bb67-4a1b-bb1e-b9a28d8f4a8c,,,,,,T1±2,0.027,,,,,,Luhman 16 (WISE 1049−5319),B,,§,,,,
1b45c52c-9cae-4ceb-be52-1ea85333540a,7.43,±0.041,Hya*,08h 55m 10.8s,−07° 14′ 43″,Y4,0.003-0.010,25.0 J,,28.2 J,439.0,±2.4,WISE 0855−071,,&,,,,sub-brown dwarf,
faa4f8e3-f64d-4bc2-82b1-c8688fa40b84,7.8558,±0.0013,Leo*,10h 56m 29.2s,+07° 00′ 53″,M6.0V,0.090,13.44,,16.55,415.1794,±0.0684,Wolf 359 (CN Leonis),,,,,,flare star,has 1 candidate and 1 refuted planet
127bbaf7-c0ca-429d-9b5e-22cc18dcdd78,8.3044,±0.0007,UMa*,11h 03m 20.2s,+35° 58′ 12″,M2.0V,0.390,7.47,,10.44,392.7529,±0.0321,"Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)",,,,,,,"two known planets (2019, 2021)"
